no_colname	no_colname	no_colname	no_colname	no_colname	no_colname
HOG1569.fa	WP_000910263.1	4.04e-60	fig|470.5054.peg.5728|BQ1898_00040|	Pyochelin synthetase PchF, non-ribosomal peptide synthetase module @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1570.fa	WP_001060987.1	4.94e-117	fig|470.5685.peg.6262|SAMEA104305377_05788|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045877 | 470.5685]	VFDB
HOG1571.fa	WP_070069551.1	1.64e-31	fig|470.7268.peg.3001|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1572.fa	WP_005106962.1	1.16e-61	fig|470.7268.peg.3001|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1573.fa	WP_004925140.1	4.74e-33	fig|470.5054.peg.5725|BQ1898_00037|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1574.fa	WP_067667104.1	3.36e-26	fig|470.7268.peg.3001|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1575.fa	WP_001183739.1	5.22e-43	fig|470.7268.peg.3001|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1576.fa	WP_016167969.1	1.96e-35	fig|470.5623.peg.4093|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG1577.fa	WP_074947855.1	4.43e-07	fig|470.10130.peg.7344|	iron aquisition 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58,Irp5) @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1578.fa	WP_000279952.1	1.22e-124	fig|470.5623.peg.4092|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG1579.fa	WP_000744376.1	0.0	fig|470.7268.peg.3001|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1597.fa	WP_000191300.1	8.75e-25	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1617.fa	WP_000195199.1	2.59e-04	fig|351671.5.peg.899|XDD1_0899|	Transcriptional regulator of acrAB operon, AcrR   [Xenorhabdus doucetiae strain FRM16 = DSM 17909 | 351671.5]	PATRIC
HOG1624.fa	WP_001138980.1	8.58e-12	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1625.fa	WP_019457330.1	3.13e-09	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1627.fa	WP_000814791.1	9.28e-11	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1634.fa	WP_065993869.1	9.90e-06	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1640.fa	WP_016656323.1	1.76e-06	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1642.fa	WP_000987209.1	2.58e-05	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1643.fa	WP_000197530.1	3.54e-08	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1644.fa	WP_000988610.1	2.20e-07	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1645.fa	WP_000542611.1	1.09e-159	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1652.fa	WP_000200062.1	4.21e-35	fig|1561081.3.peg.3275|	Nicotinamidase family protein YcaC   [Acinetobacter genomosp. NB14 strain JVAP01 | 1561081.3]	VFDB
HOG1653.fa	WP_001043290.1	9.76e-27	fig|1561081.3.peg.3275|	Nicotinamidase family protein YcaC   [Acinetobacter genomosp. NB14 strain JVAP01 | 1561081.3]	VFDB
HOG1658.fa	WP_070153532.1	2.26e-36	fig|470.5054.peg.1501|BQ1898_05451|	Type IV pilus biogenesis protein PilN   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1698.fa	WP_017393239.1	2.96e-28	fig|470.5054.peg.950|BQ1898_06231|	Trans-2,3-dihydro-3-hydroxyanthranilate isomerase (EC 5.3.3.17)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1701.fa	WP_000209091.1	2.40e-28	fig|470.10130.peg.7335|	Salicylate synthetase (EC 5.4.4.2)(EC 4.2.99.21) @ Salicylate synthetase (EC 5.4.4.2)(EC 4.2.99.21) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1705.fa	WP_000550502.1	1.59e-27	fig|470.6998.peg.3814|	Virulence-associated cell-wall-anchored protein SasH (LPXTG motif); 5'-nucleotidase (EC 3.1.3.5)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG1708.fa	WP_000209960.1	3.62e-58	fig|470.5054.peg.7564|BQ1898_04407|	Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1720.fa	WP_000211588.1	6.59e-13	fig|470.5651.peg.9442|SAMEA104305337_02073|	Pyoverdin biosynthesis protein PvdN, putative aminotransferase, class V   [Acinetobacter baumannii strain 4300STDY7045842 | 470.5651]	VFDB
HOG1741.fa	WP_005197974.1	1.85e-06	fig|570952.3.peg.1424|VBIFodSed81600_1424|	Transcriptional regulator of acrAB operon, AcrR   [Fodinicurvata sediminis DSM 21159 | 570952.3]	PATRIC
HOG1760.fa	WP_000224581.1	5.60e-07	fig|796334.4.peg.1965|	Transcriptional regulator of acrAB operon, AcrR   [Erwinia oleae DAPP-PG531 | 796334.4]	PATRIC
HOG1763.fa	WP_000224843.1	6.43e-89	fig|470.5054.peg.3682|BQ1898_02781|	3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1790.fa	WP_000240701.1	3.39e-69	fig|470.6988.peg.4079|	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)   [Acinetobacter baumannii strain MRSN7414 | 470.6988]	VFDB
HOG1811.fa	WP_016541288.1	6.67e-08	fig|1224318.4.peg.2958|DT73_14785|	Transcriptional regulator of acrAB operon, AcrR   [Mangrovibacter sp. MFB070 | 1224318.4]	PATRIC
HOG1812.fa	WP_000253055.1	1.87e-46	fig|470.5054.peg.5725|BQ1898_00037|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1854.fa	WP_000269792.1	1.15e-64	fig|216142.3.peg.3315|	Alginate biosynthesis two-component system sensor histidine kinase AlgZ/FimS   [Pseudomonas rhizosphaerae DSM 16299 | 216142.3]	PATRIC
HOG185.fa	WP_001086065.1	1.20e-13	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1861.fa	WP_000273193.1	5.86e-34	fig|1112217.3.peg.1767|PPL19_09186|VBIPsePsy221927_1767|	Alginate biosynthesis two-component system sensor histidine kinase KinB   [Pseudomonas psychrotolerans L19 | 1112217.3]	PATRIC
HOG1865.fa	WP_002134457.1	2.05e-06	fig|470.5054.peg.1056|BQ1898_05992|	Pyoverdin biosynthesis protein PvdN, putative aminotransferase, class V   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1879.fa	WP_000279216.1	4.64e-59	fig|470.5054.peg.7081|BQ1898_00412|	General secretion pathway protein F   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG188.fa	WP_001035486.1	1.34e-11	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1893.fa	WP_000289452.1	3.58e-93	fig|470.6998.peg.2487|	ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG1899.fa	WP_000301461.1	2.34e-37	fig|470.5054.peg.7086|BQ1898_00417|	General secretion pathway protein K   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG189.fa	WP_000701528.1	1.77e-20	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG190.fa	WP_000877608.1	1.16e-12	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1926.fa	WP_000656411.1	0.004	fig|470.6948.peg.4117|	Adhesin of unknown specificity SdrE, similar to bone sialoprotein-binding protein Bbp   [Acinetobacter baumannii strain MRSN7366 | 470.6948]	VFDB
HOG192.fa	WP_000834593.1	6.31e-12	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1941.fa	WP_000347036.1	0.0	fig|470.5054.peg.685|BQ1898_05311|	Type IV pilus assembly ATPase component PilU   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG194.fa	WP_039621889.1	5.73e-10	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG195.fa	WP_031969743.1	1.00e-14	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1960.fa	WP_000355489.1	0.0	fig|1051623.3.peg.2667|UC75_11150|	Twitching motility protein PilT   [Acinetobacter sp. V2 | 1051623.3]	VFDB
HOG196.fa	WP_000600019.1	6.23e-17	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1970.fa	WP_000362312.1	1.74e-05	fig|470.5054.peg.5654|BQ1898_06311|	RNA polymerase sigma factor RpoE   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG198.fa	WP_061391897.1	9.59e-16	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1992.fa	WP_000380899.1	3.98e-56	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1999.fa	WP_016140919.1	3.44e-10	fig|1470200.3.peg.2010|PL75_04310|	Multidrug resistance regulator EmrR (MprA)   [Neisseria sp. KH1503 | 1470200.3]	PATRIC
HOG199.fa	WP_016163281.1	3.40e-20	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2000.fa	WP_016657531.1	2.54e-11	fig|1157951.4.peg.3073|S70_15260|VBIProStu236675_3073|	Multidrug resistance regulator EmrR (MprA)   [Providencia stuartii MRSN 2154 | 1157951.4]	PATRIC
HOG2001.fa	WP_000042163.1	6.70e-06	fig|470.6507.peg.5314|	putative regulator PapX protein   [Acinetobacter baumannii strain 468 | 470.6507]	VFDB
HOG2002.fa	WP_000252463.1	5.15e-06	fig|1051985.3.peg.1119|l11_11070|VBINeiWea211106_1119|	Multidrug resistance regulator EmrR (MprA)   [Neisseria weaveri LMG 5135 | 1051985.3]	PATRIC
HOG2007.fa	WP_000375838.1	3.39e-04	fig|585054.5.peg.2467|EFER_2553|VBIEscFer122920_2467|	Transcriptional regulator of acrAB operon, AcrR   [Escherichia fergusonii ATCC 35469 | 585054.5]	PATRIC
HOG200.fa	WP_005229217.1	4.17e-13	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2016.fa	WP_000377865.1	2.04e-04	fig|470.5623.peg.4092|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG201.fa	WP_070074509.1	2.94e-04	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG202.fa	WP_000697819.1	1.54e-10	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2031.fa	WP_000389061.1	6.75e-86	fig|2060938.3.peg.2670|	twitching motility protein PilG   [Acinetobacter sp. B51(2017) strain B51(2017) strain B51(2017) strain B51(2017) | 2060938.3]	VFDB
HOG203.fa	WP_025095516.1	5.78e-22	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG204.fa	WP_004903375.1	3.23e-19	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG205.fa	WP_004749347.1	7.29e-18	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG2062.fa	WP_000411991.1	1.84e-41	fig|470.5054.peg.5725|BQ1898_00037|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG206.fa	WP_092750170.1	2.21e-21	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2076.fa	WP_000420545.1	0.001	fig|1519494.3.peg.973|ADL05_04510|	Lipoprotein LpqB, modulates activity of MtrAB two-component system   [Nocardiopsis sp. NRRL B-16309 | 1519494.3]	PATRIC
HOG207.fa	WP_004902190.1	1.38e-22	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG208.fa	WP_023273788.1	4.57e-24	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG209.fa	WP_023273973.1	6.67e-28	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2104.fa	WP_001058609.1	2.61e-44	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2107.fa	WP_000442893.1	7.69e-23	fig|470.6721.peg.2347|	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain MRSN1966 | 470.6721]	VFDB
HOG210.fa	WP_004903355.1	3.27e-26	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2110.fa	WP_000445471.1	9.39e-19	fig|470.9259.peg.2655|	Type 1 fimbriae regulatory protein FimE   [Acinetobacter baumannii strain aba45acb | 470.9259]	VFDB
HOG2119.fa	WP_000449051.1	0.001	fig|470.5054.peg.1484|BQ1898_06150|	T6SS protein serine/threonine phosphatase PppA   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG211.fa	WP_004900663.1	6.21e-26	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2128.fa	WP_000459547.1	3.42e-42	fig|1224163.3.peg.698|B841_03475|VBICorMar256873_0698|	Two component system response regulator MtrA   [Corynebacterium maris DSM 45190 | 1224163.3]	PATRIC
HOG2129.fa	WP_068889473.1	4.13e-11	fig|680646.3.peg.575|RMDY18_06650|VBIRotMuc152186_0575|	Two component system response regulator MtrA   [Rothia mucilaginosa DY-18 | 680646.3]	PATRIC
HOG212.fa	WP_004901366.1	8.46e-12	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2130.fa	WP_005104656.1	3.17e-04	fig|76636.3.peg.2464|	Two component system response regulator MtrA   [Mycetocola saprophilus strain NRRL B-24119 | 76636.3]	PATRIC
HOG2131.fa	WP_000526534.1	1.78e-40	fig|525245.3.peg.567|HMPREF0044_0836|VBIActCol28478_0567|	Two component system response regulator MtrA   [Actinomyces coleocanis DSM 15436 | 525245.3]	PATRIC
HOG2132.fa	WP_001221450.1	2.83e-52	fig|1117379.3.peg.1304|BABA_06241|VBIBacBat217866_1304|	Two component system response regulator MtrA   [Bacillus bataviensis LMG 21833 | 1117379.3]	PATRIC
HOG2133.fa	WP_004751608.1	1.25e-40	fig|1170318.3.peg.905|PALO_04395|VBIProAvi230658_0905|	Two component system response regulator MtrA   [Propionibacterium avidum 44067 | 1170318.3]	PATRIC
HOG2134.fa	WP_001221370.1	5.62e-55	fig|1117379.3.peg.1304|BABA_06241|VBIBacBat217866_1304|	Two component system response regulator MtrA   [Bacillus bataviensis LMG 21833 | 1117379.3]	PATRIC
HOG2135.fa	WP_004722337.1	1.02e-55	fig|1117379.3.peg.1304|BABA_06241|VBIBacBat217866_1304|	Two component system response regulator MtrA   [Bacillus bataviensis LMG 21833 | 1117379.3]	PATRIC
HOG2139.fa	WP_000460568.1	6.30e-24	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG213.fa	WP_045794300.1	4.62e-15	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG214.fa	WP_045794111.1	1.04e-08	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG215.fa	WP_000682841.1	2.61e-15	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2164.fa	WP_000471448.1	1.35e-46	fig|470.5054.peg.1480|BQ1898_06146|	T6SS component TssK (ImpJ/VasE)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG2167.fa	WP_000472465.1	1.98e-37	fig|1125718.3.peg.1728|HMPREF1318_2476|VBIActMas238937_1728|	Two component system sensor histidine kinase MtrB   [Actinomyces massiliensis F0489 | 1125718.3]	PATRIC
HOG216.fa	WP_000071232.1	3.62e-16	fig|470.7268.peg.2999|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG2175.fa	WP_000476843.1	4.93e-128	fig|1217674.3.peg.1256|F940_01280|VBIAciRad257455_1256|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter radioresistens NIPH 2130 | 1217674.3]	VFDB
HOG2176.fa	WP_001061486.1	4.13e-11	fig|108980.26.peg.1685|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter ursingii strain UBA7853 | 108980.26]	VFDB
HOG2177.fa	WP_097078094.1	0.0	fig|1096779.3.peg.2525|SAMN05421731_101220|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter puyangensis strain ANC 4466 | 1096779.3]	VFDB
HOG2178.fa	WP_000999449.1	4.44e-124	fig|1217674.3.peg.1256|F940_01280|VBIAciRad257455_1256|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter radioresistens NIPH 2130 | 1217674.3]	VFDB
HOG217.fa	WP_061525402.1	6.24e-13	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
